disease_group	abbr	components	active
Acute Lymphoblastic Leukemia (ALL)	ALL protocol phase I (adapted GMALL)	Vincristine + Doxorubicin + L-asparaginase + Prednisolone/Dexamethasone	yes
Acute Lymphoblastic Leukemia (ALL)	B-cell ALL protocol induction cycle 1 (adapted MRC UKALL XII/ECOG E2993)	Doxorubicin + Vincristine + L-asparaginase + Dexamethasone + Rituximab + IT Cytarabine + IT Methotrexate	yes
Acute Lymphoblastic Leukemia (ALL)	B-cell ALL protocol induction cycle 2 (adapted MRC UKALL XII/ECOG E2993)	Cyclophosphamide + Cytarabine + Mercaptopurine + L-asparaginase + Rituximab + IT Methotrexate	yes
Acute Lymphoblastic Leukemia (ALL)	Blinatumomab (consolidation in B-ALL)	Blinatumomab	yes
Acute Lymphoblastic Leukemia (ALL)	Blinatumumab + TKI	Blinatumumab + BCR::ABL1 TKI (Dasatinib/Imatinib) — consolidation Ph+ ALL	yes
Acute Lymphoblastic Leukemia (ALL)	CAR T-cell therapy (tisagenlecleucel, brexucabtagene autoleucel, obecabtagene autoleucel)	Anti-CD19 CAR-T — relapsed/refractory B-ALL	yes
Acute Lymphoblastic Leukemia (ALL)	Dasatinib/Nilotinib + Hyper-CVAD	2nd-gen TKI + Hyper-CVAD — Ph+ ALL frontline	yes
Acute Lymphoblastic Leukemia (ALL)	Hyper-CVAD (Cycle 1, 3, 5, 7)	Cyclophosphamide + Mesna + Vincristine + Doxorubicin + Dexamethasone	yes
Acute Lymphoblastic Leukemia (ALL)	Hyper-CVAD (Cycle 2, 4, 6, 8: Methotrexate-Cytarabine)	Methotrexate + Leucovorin + Cytarabine + Methylprednisolone + IT Methotrexate + IT Cytarabine	yes
Acute Lymphoblastic Leukemia (ALL)	Inotuzumab ozogamicin (with mini-hyper-CVD)	Inotuzumab ozogamicin	yes
Acute Lymphoblastic Leukemia (ALL)	Mini-hyper-CVD (Cycle 1, 3, 5, 7)	Cyclophosphamide + Vincristine + Dexamethasone	yes
Acute Lymphoblastic Leukemia (ALL)	Mini-hyper-CVD (Cycle 2, 4, 6, 8: Methotrexate-Cytarabine)	Methotrexate + Leucovorin + Cytarabine + IT Methotrexate + IT Cytarabine	yes
Acute Lymphoblastic Leukemia (ALL)	Nelarabine (after CMT induction in T-ALL)	Nelarabine	yes
Acute Lymphoblastic Leukemia (ALL)	Ponatinib + Blinatumumab (chemotherapy-free)	Ponatinib + Blinatumumab — frontline Ph+ ALL	yes
Acute Lymphoblastic Leukemia (ALL)	TPOG HR/VHR ALL phase I	Vincristine + Prednisolone + Doxorubicin + L-asparaginase + IT Methotrexate	yes
Acute Lymphoblastic Leukemia (ALL)	TPOG VHL ALL phase III	Vincristine + Methotrexate + Leucovorin + Mercaptopurine + IT Methotrexate	yes
Acute Lymphoblastic Leukemia (ALL)	TPOG VHR ALL phase II	Cyclophosphamide + Mesna + Cytarabine + Mercaptopurine + L-asparaginase + Vincristine + IT Methotrexate	yes
Acute Myeloid Leukemia (AML) & MDS	7+3 regimen	Cytarabine + Idarubicin/Mitoxantrone/Daunorubicin/Doxorubicin	yes
Acute Myeloid Leukemia (AML) & MDS	Azacytidine	Azacytidine	yes
Acute Myeloid Leukemia (AML) & MDS	Azacytidine + Venetoclax	Azacytidine + Venetoclax	yes
Acute Myeloid Leukemia (AML) & MDS	CPX-351 (Vyxeos)	Liposomal Daunorubicin + Cytarabine (5:1) — t-AML/AML-MRC	yes
Acute Myeloid Leukemia (AML) & MDS	Decitabine	Decitabine	yes
Acute Myeloid Leukemia (AML) & MDS	Decitabine + Venetoclax	Decitabine + Venetoclax	yes
Acute Myeloid Leukemia (AML) & MDS	Gemtuzumab ozogamicin ± 7+3	Gemtuzumab ozogamicin (anti-CD33 ADC) ± 7+3	yes
Acute Myeloid Leukemia (AML) & MDS	Gilteritinib (single agent)	Gilteritinib (FLT3 inhibitor) — relapsed/refractory FLT3-mutated AML	yes
Acute Myeloid Leukemia (AML) & MDS	HDAC	Cytarabine (high-dose)	yes
Acute Myeloid Leukemia (AML) & MDS	IDAC	Cytarabine (intermediate-dose)	yes
Acute Myeloid Leukemia (AML) & MDS	Ivosidenib ± Azacitidine	Ivosidenib (IDH1 inhibitor) ± Azacitidine	yes
Acute Myeloid Leukemia (AML) & MDS	LDAC	Cytarabine (low-dose)	yes
Acute Myeloid Leukemia (AML) & MDS	LDAC + Venetoclax	Cytarabine (low-dose) + Venetoclax	yes
Acute Myeloid Leukemia (AML) & MDS	Midostaurin + 7+3 → maintenance	Midostaurin (FLT3 inhibitor) + 7+3 backbone + maintenance	yes
Acute Promyelocytic Leukemia (APL)	APML4: ATRA-CMT-ATO Consolidation	ATRA + ATO	yes
Acute Promyelocytic Leukemia (APL)	APML4: ATRA-CMT-ATO Induction	ATRA + Idarubicin + ATO	yes
Acute Promyelocytic Leukemia (APL)	APML4: ATRA-CMT-ATO Maintenance	ATRA + Methotrexate + Mercaptopurine	yes
Acute Promyelocytic Leukemia (APL)	APOLLO: ATRA-ATO (+idarubicin in induction)	ATRA + Idarubicin + ATO	yes
Acute Promyelocytic Leukemia (APL)	APOLLO: ATRA-ATO Consolidation	ATRA + ATO	yes
Acute Promyelocytic Leukemia (APL)	ATO monotherapy	Arsenic trioxide	yes
Acute Promyelocytic Leukemia (APL)	ATRA monotherapy	ATRA	yes
Acute Promyelocytic Leukemia (APL)	ATRA-ATO Consolidation	ATRA + ATO	yes
Acute Promyelocytic Leukemia (APL)	ATRA-ATO Induction	ATRA + ATO	yes
Acute Promyelocytic Leukemia (APL)	ATRA-CMT Consolidation	ATRA + Idarubicin + Cytarabine + Mitoxantrone (risk-adapted, C1–C3)	yes
Acute Promyelocytic Leukemia (APL)	ATRA-CMT Induction	ATRA + Idarubicin	yes
Acute Promyelocytic Leukemia (APL)	ATRA-CMT Maintenance (2 years)	ATRA + Methotrexate + Mercaptopurine	yes
Relapse/Refractory Acute Leukemia	ALL-REZ BFM protocol Phase F1	Vincristine + Methotrexate + Leucovorin + L-asparaginase + Dexamethasone + IT (Methotrexate + Cytarabine + Hydrocortisone)	yes
Relapse/Refractory Acute Leukemia	ALL-REZ BFM protocol Phase F2	Vincristine + Cytarabine + L-asparaginase + Dexamethasone + IT (Methotrexate + Cytarabine + Hydrocortisone)	yes
Relapse/Refractory Acute Leukemia	Azacitidine/Venetoclax + Gilteritinib (triplet)	Azacitidine + Venetoclax + Gilteritinib — FLT3-mutated R-R AML	yes
Relapse/Refractory Acute Leukemia	Blinatumomab (relapse/refractory ALL)	Blinatumomab	yes
Relapse/Refractory Acute Leukemia	FLAG	Fludarabine + Cytarabine + Filgrastim	yes
Relapse/Refractory Acute Leukemia	FLAG-IDA	Fludarabine + Cytarabine + Idarubicin + Filgrastim	yes
Relapse/Refractory Acute Leukemia	FLAG-IDA + Venetoclax	FLAG-IDA + Venetoclax	yes
Relapse/Refractory Acute Leukemia	Inotuzumab ozogamicin (relapse/refractory ALL)	Inotuzumab ozogamicin	yes
Relapse/Refractory Acute Leukemia	MEC	Mitoxantrone + Etoposide + Cytarabine	yes
Relapse/Refractory Acute Leukemia	MEC + Venetoclax (±GO, ±Gilteritinib)	MEC + Venetoclax ± Gemtuzumab ozogamicin ± Gilteritinib	yes
Relapse/Refractory Acute Leukemia	MECA	Mitoxantrone + Etoposide + Carboplatin + Cytarabine ± Prednisolone (ALL)	yes
Relapse/Refractory Acute Leukemia	Nelarabine (relapsed/refractory T-ALL)	Nelarabine	yes
